ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300029.SZ,20240607,3.78,3.93,3.77,3.78,3.69,0.09,2.439,22152.52,8498.526
300029.SZ,20240606,4.02,4.05,3.69,3.69,4.08,-0.39,-9.5588,35192.01,13536.662
300029.SZ,20240605,4.03,4.3,3.86,4.08,4.11,-0.03,-0.7299,38781.53,15740.056
300029.SZ,20240604,4.0,4.22,4.0,4.11,4.07,0.04,0.9828,18409.0,7585.353
300029.SZ,20240603,4.21,4.29,4.0,4.07,4.23,-0.16,-3.7825,21961.01,8984.506
300029.SZ,20240531,4.25,4.36,4.17,4.23,4.28,-0.05,-1.1682,20096.0,8521.859
300029.SZ,20240530,4.43,4.43,4.26,4.28,4.48,-0.2,-4.4643,33103.0,14314.015
300029.SZ,20240529,4.33,4.79,4.33,4.48,4.32,0.16,3.7037,47897.2,21868.722
300029.SZ,20240528,4.56,4.6,4.23,4.32,4.61,-0.29,-6.2907,43791.0,19175.234
300029.SZ,20240527,4.5,4.84,4.43,4.61,4.57,0.04,0.8753,44062.0,20440.826
300029.SZ,20240524,4.4,4.75,4.32,4.57,4.45,0.12,2.6966,55317.0,25543.772
300029.SZ,20240523,4.66,4.66,4.38,4.45,4.72,-0.27,-5.7203,41191.0,18483.255
300029.SZ,20240522,4.05,4.73,4.05,4.72,4.04,0.68,16.8317,54313.01,23944.644
300029.SZ,20240521,4.28,4.28,4.0,4.04,4.27,-0.23,-5.3864,24815.0,10180.463
300029.SZ,20240520,4.45,4.47,4.25,4.27,4.39,-0.12,-2.7335,18080.31,7833.644
300029.SZ,20240517,4.47,4.49,4.39,4.39,4.47,-0.08,-1.7897,18693.0,8289.52
300029.SZ,20240516,4.47,4.57,4.42,4.47,4.51,-0.04,-0.8869,24843.0,11133.314
300029.SZ,20240515,4.56,4.76,4.45,4.51,4.56,-0.05,-1.0965,38825.01,17933.691
300029.SZ,20240514,4.33,4.59,4.33,4.56,4.33,0.23,5.3118,25173.0,11350.308
300029.SZ,20240513,4.37,4.45,4.1,4.33,4.47,-0.14,-3.132,20085.01,8634.885
300029.SZ,20240510,4.41,4.7,4.35,4.47,4.35,0.12,2.7586,33223.0,15015.087
300029.SZ,20240509,4.46,4.52,4.35,4.35,4.46,-0.11,-2.4664,22097.0,9801.174
