ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603719.SH,20240607,12.58,12.87,12.56,12.83,12.54,0.29,2.3126,36665.0,46640.701
603719.SH,20240606,13.09,13.12,12.47,12.54,13.03,-0.49,-3.7606,54754.07,69459.341
603719.SH,20240605,13.29,13.32,13.02,13.03,13.35,-0.32,-2.397,33856.0,44592.576
603719.SH,20240604,13.36,13.43,13.14,13.35,13.33,0.02,0.15,30075.0,39897.377
603719.SH,20240603,13.58,13.59,13.25,13.33,13.63,-0.3,-2.201,38622.34,51647.211
603719.SH,20240531,13.59,13.72,13.5,13.63,13.49,0.14,1.0378,30037.0,40862.183
603719.SH,20240530,13.8,13.89,13.62,13.71,13.8,-0.09,-0.6522,33628.0,46131.92
603719.SH,20240529,13.78,13.95,13.71,13.8,13.79,0.01,0.0725,27226.69,37610.64
603719.SH,20240528,14.13,14.13,13.78,13.79,14.17,-0.38,-2.6817,39839.69,55391.767
603719.SH,20240527,14.11,14.25,13.78,14.17,14.1,0.07,0.4965,42350.0,59098.623
603719.SH,20240524,14.32,14.41,14.07,14.1,14.28,-0.18,-1.2605,38785.62,55114.509
603719.SH,20240523,14.78,14.83,14.23,14.28,14.82,-0.54,-3.6437,46792.0,67484.999
603719.SH,20240522,14.96,15.01,14.72,14.82,14.96,-0.14,-0.9358,39286.53,58295.92
603719.SH,20240521,15.12,15.13,14.8,14.96,15.13,-0.17,-1.1236,41234.9,61592.932
603719.SH,20240520,15.05,15.56,14.85,15.13,15.48,-0.35,-2.261,74708.03,113628.726
603719.SH,20240517,15.24,15.54,15.16,15.48,15.24,0.24,1.5748,40664.03,62410.303
603719.SH,20240516,15.16,15.4,15.08,15.24,15.17,0.07,0.4614,31045.71,47373.037
603719.SH,20240515,15.45,15.48,15.15,15.17,15.49,-0.32,-2.0658,25461.0,38870.907
603719.SH,20240514,15.1,15.57,15.1,15.49,15.1,0.39,2.5828,41793.86,64343.441
603719.SH,20240513,15.29,15.31,14.98,15.1,15.39,-0.29,-1.8843,43163.86,65166.657
603719.SH,20240510,15.75,15.99,15.39,15.39,15.7,-0.31,-1.9745,46111.0,71755.492
603719.SH,20240509,15.67,15.78,15.41,15.7,15.48,0.22,1.4212,32333.0,50673.183
603719.SH,20240508,15.66,15.75,15.45,15.48,15.72,-0.24,-1.5267,43934.0,68468.457
603719.SH,20240507,15.65,15.78,15.5,15.72,15.64,0.08,0.5115,43136.0,67630.178
603719.SH,20240506,15.4,15.67,15.23,15.64,15.04,0.6,3.9894,66213.0,102648.809
603719.SH,20240430,15.07,15.25,14.85,15.04,15.13,-0.09,-0.5948,51658.05,77809.541
603719.SH,20240429,14.72,15.2,14.7,15.13,14.71,0.42,2.8552,66157.0,99228.337
603719.SH,20240426,14.1,14.71,14.0,14.71,14.42,0.29,2.0111,73725.89,106431.255
603719.SH,20240425,14.24,14.62,14.24,14.42,14.44,-0.02,-0.1385,45893.48,66376.643
603719.SH,20240424,14.5,14.58,14.2,14.44,14.54,-0.1,-0.6878,44625.0,64124.161
603719.SH,20240423,14.42,14.64,14.38,14.54,14.44,0.1,0.6925,43370.0,62995.485
603719.SH,20240422,14.18,14.56,13.93,14.44,14.19,0.25,1.7618,52857.12,75719.068
603719.SH,20240419,14.25,14.33,13.91,14.19,14.36,-0.17,-1.1838,55015.38,77571.539
603719.SH,20240418,14.3,14.67,13.96,14.36,14.32,0.04,0.2793,73372.64,105495.056
603719.SH,20240417,13.69,14.38,13.69,14.32,13.46,0.86,6.3893,73098.92,103499.2
603719.SH,20240416,14.55,14.55,13.4,13.46,14.59,-1.13,-7.745,98442.23,135963.815
603719.SH,20240415,15.45,15.75,14.38,14.59,15.56,-0.97,-6.2339,93079.95,138317.27
603719.SH,20240412,15.85,15.97,15.43,15.56,15.88,-0.32,-2.0151,68708.0,107431.719
603719.SH,20240411,16.0,16.25,15.82,15.88,16.07,-0.19,-1.1823,66936.32,107407.758
603719.SH,20240410,16.75,16.77,15.88,16.07,16.71,-0.64,-3.83,92845.7,150927.723
603719.SH,20240409,16.5,16.84,16.39,16.71,16.7,0.01,0.0599,72974.86,121489.807
603719.SH,20240408,17.11,17.11,16.41,16.7,17.26,-0.56,-3.2445,132568.15,221722.916
603719.SH,20240403,17.02,17.4,16.78,17.26,16.98,0.28,1.649,161220.12,277058.558
603719.SH,20240402,16.99,17.55,16.87,16.98,16.97,0.01,0.0589,193136.63,331452.15
603719.SH,20240401,16.58,17.0,16.5,16.97,16.62,0.35,2.1059,138378.67,232317.812
603719.SH,20240329,16.79,16.9,16.43,16.62,17.0,-0.38,-2.2353,122450.7,203489.78
603719.SH,20240328,16.24,17.0,15.99,17.0,16.74,0.26,1.5532,263680.37,432726.13
603719.SH,20240327,15.36,16.74,15.25,16.74,15.22,1.52,9.9869,216800.49,358334.632
603719.SH,20240326,15.02,15.28,14.94,15.22,15.06,0.16,1.0624,46114.78,69882.012
603719.SH,20240325,15.52,15.64,15.06,15.06,15.68,-0.62,-3.9541,50988.0,78341.778
603719.SH,20240322,16.28,16.28,15.64,15.68,16.32,-0.64,-3.9216,62149.69,98469.051
603719.SH,20240321,16.39,16.43,16.0,16.32,16.26,0.06,0.369,49229.83,80036.782
603719.SH,20240320,16.2,16.3,16.06,16.26,16.2,0.06,0.3704,36628.41,59299.946
603719.SH,20240319,16.24,16.46,16.13,16.2,16.25,-0.05,-0.3077,47678.5,77561.839
603719.SH,20240318,16.21,16.27,15.9,16.25,16.2,0.05,0.3086,51582.0,82979.332
603719.SH,20240315,15.84,16.2,15.74,16.2,15.91,0.29,1.8228,50183.86,80466.006
603719.SH,20240314,16.11,16.2,15.68,15.91,16.12,-0.21,-1.3027,44098.0,70286.32
603719.SH,20240313,16.26,16.31,16.03,16.12,16.27,-0.15,-0.9219,49764.02,80365.416
603719.SH,20240312,15.92,16.3,15.81,16.27,15.87,0.4,2.5205,75349.99,121539.385
603719.SH,20240311,15.14,15.87,15.12,15.87,15.17,0.7,4.6144,68136.94,106221.162
603719.SH,20240308,15.28,15.4,14.86,15.17,15.29,-0.12,-0.7848,52494.04,79394.442
603719.SH,20240307,15.52,15.74,15.26,15.29,15.52,-0.23,-1.482,52591.59,81497.314
603719.SH,20240306,15.6,15.76,15.25,15.52,15.67,-0.15,-0.9572,60180.34,93191.352
603719.SH,20240305,15.98,16.07,15.59,15.67,16.06,-0.39,-2.4284,60267.9,95057.874
603719.SH,20240304,16.08,16.4,15.91,16.06,16.15,-0.09,-0.5573,75121.64,120920.3
603719.SH,20240301,15.91,16.2,15.59,16.15,15.83,0.32,2.0215,80729.46,128798.311
603719.SH,20240229,15.3,15.87,15.22,15.83,15.42,0.41,2.6589,72009.25,112466.655
603719.SH,20240228,16.56,16.85,15.41,15.42,16.4,-0.98,-5.9756,125906.46,204107.466
603719.SH,20240227,15.95,16.4,15.89,16.4,16.09,0.31,1.9267,66122.76,107089.132
