ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
830809.BJ,20240607,3.72,3.76,3.71,3.76,3.7,0.06,1.6216,7925.06,2968.937
830809.BJ,20240606,3.84,3.84,3.7,3.7,3.82,-0.12,-3.1414,17868.46,6712.514
830809.BJ,20240605,3.86,3.87,3.82,3.82,3.86,-0.04,-1.0363,8183.3,3143.633
830809.BJ,20240604,3.88,3.88,3.84,3.86,3.87,-0.01,-0.2584,8214.59,3167.0
830809.BJ,20240603,3.96,3.96,3.86,3.87,3.96,-0.09,-2.2727,12969.63,5046.137
830809.BJ,20240531,3.93,3.96,3.92,3.96,3.92,0.04,1.0204,5053.08,1989.289
830809.BJ,20240530,3.98,4.0,3.92,3.92,3.99,-0.07,-1.7544,11782.62,4653.304
830809.BJ,20240529,4.02,4.06,3.97,3.99,4.02,-0.03,-0.7463,11288.38,4527.437
830809.BJ,20240528,4.03,4.06,4.0,4.02,4.02,0.0,0.0,7987.02,3216.458
830809.BJ,20240527,4.04,4.05,4.0,4.02,4.03,-0.01,-0.2481,11013.22,4437.696
830809.BJ,20240524,4.08,4.1,4.01,4.03,4.07,-0.04,-0.9828,10913.97,4413.696
830809.BJ,20240523,3.99,4.2,3.98,4.07,3.99,0.08,2.005,28822.67,11780.305
830809.BJ,20240522,3.96,3.99,3.95,3.99,3.96,0.03,0.7576,8215.54,3264.202
830809.BJ,20240521,4.0,4.0,3.95,3.96,4.0,-0.04,-1.0,9887.57,3926.537
830809.BJ,20240520,4.04,4.04,3.97,4.0,4.0,0.0,0.0,14564.53,5827.165
830809.BJ,20240517,3.98,4.02,3.97,4.0,3.99,0.01,0.2506,8794.95,3516.341
830809.BJ,20240516,4.04,4.06,3.97,3.99,4.04,-0.05,-1.2376,20387.2,8157.562
830809.BJ,20240515,4.06,4.08,4.03,4.04,4.07,-0.03,-0.7371,11209.31,4535.403
830809.BJ,20240514,4.05,4.09,4.02,4.07,4.06,0.01,0.2463,8513.67,3462.112
830809.BJ,20240513,4.22,4.22,4.03,4.06,4.2,-0.14,-3.3333,31799.89,13001.615
830809.BJ,20240510,4.3,4.32,4.19,4.2,4.34,-0.14,-3.2258,33750.52,14244.428
830809.BJ,20240509,4.3,4.44,4.29,4.34,4.24,0.1,2.3585,46518.08,20368.142
830809.BJ,20240508,4.3,4.32,4.23,4.24,4.26,-0.02,-0.4695,9906.1,4221.195
830809.BJ,20240507,4.35,4.36,4.25,4.26,4.3,-0.04,-0.9302,15589.13,6671.093
830809.BJ,20240506,4.31,4.34,4.25,4.3,4.26,0.04,0.939,12397.96,5321.532
830809.BJ,20240430,4.28,4.3,4.19,4.26,4.28,-0.02,-0.4673,21924.16,9281.958
830809.BJ,20240429,4.2,4.35,4.18,4.28,4.21,0.07,1.6627,24407.4,10401.067
830809.BJ,20240426,4.2,4.26,4.18,4.21,4.22,-0.01,-0.237,15684.51,6619.371
830809.BJ,20240425,4.22,4.29,4.19,4.22,4.16,0.06,1.4423,12895.53,5467.837
830809.BJ,20240424,4.2,4.26,4.16,4.16,4.21,-0.05,-1.1876,19854.27,8326.597
830809.BJ,20240423,4.23,4.28,4.21,4.21,4.24,-0.03,-0.7075,11326.88,4794.341
830809.BJ,20240422,4.23,4.42,4.17,4.24,4.17,0.07,1.6787,20493.71,8829.625
830809.BJ,20240419,4.23,4.23,4.15,4.17,4.24,-0.07,-1.6509,14812.37,6197.029
830809.BJ,20240418,4.35,4.37,4.23,4.24,4.3,-0.06,-1.3953,15278.96,6561.358
830809.BJ,20240417,4.25,4.34,4.2,4.3,4.15,0.15,3.6145,13214.54,5683.788
830809.BJ,20240416,4.52,4.57,4.15,4.15,4.52,-0.37,-8.1858,27144.76,11618.157
830809.BJ,20240415,4.6,4.74,4.51,4.52,4.67,-0.15,-3.212,18476.39,8461.433
830809.BJ,20240412,4.72,4.78,4.64,4.67,4.72,-0.05,-1.0593,16778.82,7872.443
830809.BJ,20240411,4.82,4.82,4.71,4.72,4.85,-0.13,-2.6804,22473.21,10658.076
830809.BJ,20240410,4.83,4.98,4.68,4.85,4.79,0.06,1.2526,38126.9,18509.001
830809.BJ,20240409,4.73,4.8,4.68,4.79,4.7,0.09,1.9149,21339.05,10151.185
830809.BJ,20240408,4.89,4.89,4.7,4.7,4.89,-0.19,-3.8855,20625.78,9867.698
830809.BJ,20240403,4.87,5.08,4.86,4.89,4.81,0.08,1.6632,48318.43,24006.325
830809.BJ,20240402,4.73,4.85,4.64,4.81,4.69,0.12,2.5586,27854.4,13259.477
830809.BJ,20240401,4.62,4.7,4.62,4.69,4.62,0.07,1.5152,10703.31,4999.191
830809.BJ,20240329,4.66,4.67,4.6,4.62,4.62,0.0,0.0,9157.06,4236.47
830809.BJ,20240328,4.6,4.67,4.57,4.62,4.6,0.02,0.4348,10336.79,4765.98
830809.BJ,20240327,4.66,4.82,4.6,4.6,4.64,-0.04,-0.8621,27407.72,12936.57
830809.BJ,20240326,4.55,4.69,4.55,4.64,4.54,0.1,2.2026,12885.24,5958.697
830809.BJ,20240325,4.73,4.75,4.53,4.54,4.69,-0.15,-3.1983,19050.9,8833.4
830809.BJ,20240322,4.81,4.84,4.69,4.69,4.8,-0.11,-2.2917,20257.92,9625.023
830809.BJ,20240321,4.86,4.89,4.8,4.8,4.85,-0.05,-1.0309,14705.36,7094.821
830809.BJ,20240320,4.87,4.9,4.82,4.85,4.87,-0.02,-0.4107,13950.33,6773.518
830809.BJ,20240319,4.96,4.96,4.85,4.87,4.96,-0.09,-1.8145,24825.77,12148.891
830809.BJ,20240318,4.98,5.07,4.93,4.96,4.97,-0.01,-0.2012,31605.55,15746.797
830809.BJ,20240315,4.8,4.99,4.78,4.97,4.81,0.16,3.3264,40528.76,19953.831
830809.BJ,20240314,4.85,4.88,4.77,4.81,4.83,-0.02,-0.4141,14018.91,6735.822
830809.BJ,20240313,4.83,4.88,4.78,4.83,4.87,-0.04,-0.8214,22614.67,10883.634
830809.BJ,20240312,4.95,5.0,4.8,4.87,4.92,-0.05,-1.0163,48149.56,23383.764
830809.BJ,20240311,4.67,4.96,4.65,4.92,4.65,0.27,5.8065,65228.7,31704.356
830809.BJ,20240308,4.7,4.73,4.61,4.65,4.67,-0.02,-0.4283,17877.74,8300.442
830809.BJ,20240307,4.84,4.89,4.67,4.67,4.83,-0.16,-3.3126,23680.21,11254.055
830809.BJ,20240306,4.87,4.92,4.76,4.83,4.85,-0.02,-0.4124,27452.55,13250.931
830809.BJ,20240305,5.01,5.05,4.85,4.85,5.03,-0.18,-3.5785,27526.2,13445.334
830809.BJ,20240304,5.14,5.17,4.98,5.03,5.17,-0.14,-2.7079,35998.4,18140.562
830809.BJ,20240301,5.05,5.31,5.05,5.17,5.02,0.15,2.988,50328.82,26217.68
830809.BJ,20240229,4.78,5.06,4.78,5.02,4.84,0.18,3.719,36526.69,18136.351
830809.BJ,20240228,4.99,5.13,4.82,4.84,4.88,-0.04,-0.8197,60710.3,30200.653
830809.BJ,20240227,4.68,4.88,4.63,4.88,4.68,0.2,4.2735,35605.7,17118.139
830809.BJ,20240226,4.83,4.83,4.62,4.68,4.82,-0.14,-2.9046,31094.96,14646.206
